epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26947,0.5084,1.77984,1.13472,0.66276,0.52287,0.58127,0.40766,0.82258,2.72575,1.53466,0.000547729,0.000547729,0.000547729
2,12.5452,0.37948,1.02561,1.00699,0.31709,0.59101,0.39651,0.27316,0.85588,2.61682,1.43221,0.00108155,0.00108155,0.00108155
3,17.7339,0.36145,0.90616,1.00425,0.64795,0.71037,0.61868,0.45273,0.93549,3.24099,1.58254,0.00159336,0.00159336,0.00159336
4,23.0407,0.36164,0.76516,1.00254,0.92927,0.83903,0.89504,0.75845,0.52621,1.00088,0.95699,0.00156798,0.00156798,0.00156798
5,28.3181,0.32545,0.70541,0.98076,0.82595,0.53333,0.69967,0.57098,0.92155,1.58375,1.26012,0.00153497,0.00153497,0.00153497
6,33.5459,0.33047,0.65759,0.9765,0.72463,0.73812,0.74824,0.64384,0.68841,1.44726,1.16623,0.00150197,0.00150197,0.00150197
7,38.9604,0.30001,0.61607,0.99167,0.833,0.75185,0.8488,0.75876,0.50974,0.94735,0.88381,0.00146896,0.00146896,0.00146896
8,44.2919,0.31048,0.55102,0.9818,0.98517,0.76435,0.88125,0.81667,0.43272,0.73287,0.82795,0.00143595,0.00143595,0.00143595
9,49.5787,0.28878,0.55681,0.94688,0.98824,0.80823,0.92169,0.8476,0.42388,0.61601,0.85169,0.00140295,0.00140295,0.00140295
10,54.8657,0.24189,0.47615,0.92952,0.6347,0.63926,0.62643,0.5654,0.69022,1.62597,1.19586,0.00136994,0.00136994,0.00136994
11,60.1841,0.25674,0.48986,0.94295,0.92859,0.87684,0.92193,0.83315,0.38203,0.50944,0.76751,0.00133693,0.00133693,0.00133693
12,65.5161,0.24902,0.4512,0.93175,0.81624,0.63481,0.73241,0.6523,0.59549,1.28841,0.98902,0.00130393,0.00130393,0.00130393
13,70.9146,0.25675,0.46883,0.93231,0.84958,0.6909,0.82879,0.73084,0.52683,1.05735,0.91639,0.00127092,0.00127092,0.00127092
14,76.2901,0.23785,0.44502,0.92826,0.9601,0.85354,0.93238,0.83732,0.43955,0.61207,0.85003,0.00123791,0.00123791,0.00123791
15,81.6891,0.24355,0.41781,0.92999,0.96849,0.74584,0.88346,0.7659,0.56167,1.11355,0.99202,0.00120491,0.00120491,0.00120491
16,87.0158,0.22446,0.40332,0.92592,0.96607,0.84444,0.93643,0.85142,0.44458,0.56947,0.85396,0.0011719,0.0011719,0.0011719
17,92.3532,0.22307,0.44524,0.92083,0.96597,0.80883,0.9294,0.86924,0.3347,0.41198,0.72863,0.00113889,0.00113889,0.00113889
18,97.7527,0.21609,0.38639,0.91624,0.97761,0.76417,0.87031,0.81314,0.40047,1.01526,0.81362,0.00110589,0.00110589,0.00110589
19,103.214,0.21425,0.36582,0.92026,0.94118,0.83973,0.94479,0.8635,0.41059,0.49538,0.79843,0.00107288,0.00107288,0.00107288
20,108.602,0.20657,0.36273,0.91293,0.97391,0.82593,0.93863,0.86589,0.40347,0.48224,0.81276,0.00103987,0.00103987,0.00103987
21,114.04,0.20448,0.34542,0.91141,0.95555,0.82741,0.95974,0.87699,0.3793,0.42672,0.78049,0.00100687,0.00100687,0.00100687
22,119.402,0.20512,0.36777,0.92105,0.89763,0.90148,0.94088,0.85425,0.41605,0.44698,0.84269,0.000973861,0.000973861,0.000973861
23,124.72,0.18806,0.34445,0.90944,0.98662,0.81964,0.94036,0.87999,0.35734,0.57826,0.79084,0.000940855,0.000940855,0.000940855
24,130.018,0.21769,0.38067,0.93371,0.96096,0.83219,0.92783,0.87166,0.36535,0.55928,0.76372,0.000907848,0.000907848,0.000907848
25,135.394,0.19663,0.32138,0.91329,1,0.90236,0.96837,0.87254,0.34435,0.36985,0.75969,0.000874842,0.000874842,0.000874842
26,140.765,0.18114,0.31762,0.91955,0.96062,0.88444,0.95803,0.86026,0.35733,0.35911,0.76602,0.000841835,0.000841835,0.000841835
27,146.116,0.18459,0.29952,0.9083,0.99371,0.92208,0.97659,0.88413,0.35978,0.39866,0.75144,0.000808828,0.000808828,0.000808828
28,151.499,0.18128,0.28338,0.89299,0.81207,0.95128,0.9614,0.89081,0.32098,0.44659,0.71234,0.000775822,0.000775822,0.000775822
29,156.965,0.17549,0.31193,0.89136,0.96896,0.82593,0.94541,0.87083,0.36458,0.54143,0.79197,0.000742815,0.000742815,0.000742815
30,162.337,0.19586,0.32846,0.90633,0.93446,0.79053,0.90502,0.81243,0.42496,0.92661,0.8365,0.000709809,0.000709809,0.000709809
31,167.808,0.17407,0.29307,0.9133,0.95061,0.88593,0.97324,0.89723,0.31155,0.31347,0.7265,0.000676802,0.000676802,0.000676802
32,173.115,0.16949,0.27633,0.89607,0.95817,0.88046,0.95526,0.88377,0.31688,0.41365,0.70737,0.000643795,0.000643795,0.000643795
33,178.549,0.1687,0.25805,0.89605,0.92927,0.93296,0.97936,0.89325,0.29292,0.28861,0.73522,0.000610789,0.000610789,0.000610789
34,183.921,0.15679,0.29635,0.88651,0.99336,0.89541,0.9797,0.89866,0.34614,0.3495,0.79492,0.000577782,0.000577782,0.000577782
35,189.323,0.13472,0.39789,0.88276,0.89662,0.81707,0.92797,0.86629,0.31585,0.60934,0.72441,0.000544776,0.000544776,0.000544776
36,194.673,0.15241,0.24581,0.88911,0.91714,0.89425,0.95213,0.88558,0.29883,0.32008,0.73723,0.000511769,0.000511769,0.000511769
37,200.232,0.14669,0.23443,0.88913,0.94901,0.871,0.96612,0.89978,0.30398,0.31265,0.74194,0.000478762,0.000478762,0.000478762
38,205.67,0.15267,0.25071,0.8959,0.95646,0.9225,0.98015,0.90707,0.36636,0.34808,0.76689,0.000445756,0.000445756,0.000445756
39,211.034,0.15364,0.2353,0.88559,0.93076,0.94148,0.97941,0.90392,0.28557,0.3002,0.68183,0.000412749,0.000412749,0.000412749
40,216.461,0.14326,0.22856,0.88717,0.96405,0.90683,0.97823,0.89841,0.31883,0.27871,0.73533,0.000379743,0.000379743,0.000379743
41,240.264,0.18956,0.27905,0.91699,0.93778,0.86073,0.95303,0.89009,0.27928,0.31443,0.6875,0.000346736,0.000346736,0.000346736
42,245.459,0.16129,0.2943,0.88053,0.94042,0.86162,0.94242,0.88187,0.29542,0.3252,0.70275,0.000313729,0.000313729,0.000313729
43,250.753,0.15601,0.18029,0.88037,0.95412,0.95526,0.98753,0.90135,0.31066,0.27527,0.73455,0.000280723,0.000280723,0.000280723
44,256.046,0.14686,0.146,0.87348,0.92134,0.91781,0.95784,0.90062,0.2625,0.29777,0.66288,0.000247716,0.000247716,0.000247716
45,261.293,0.14399,0.1411,0.87666,0.9866,0.84444,0.96567,0.89326,0.2815,0.34001,0.68833,0.00021471,0.00021471,0.00021471
46,266.533,0.13548,0.13653,0.87356,0.93261,0.87801,0.96172,0.89055,0.26934,0.3016,0.67489,0.000181703,0.000181703,0.000181703
47,271.789,0.12697,0.19426,0.86919,0.96557,0.84612,0.9731,0.90315,0.25324,0.29755,0.66397,0.000148696,0.000148696,0.000148696
48,277.042,0.12881,0.1318,0.85569,0.99232,0.88064,0.97208,0.88295,0.26955,0.26106,0.68845,0.00011569,0.00011569,0.00011569
49,282.397,0.12407,0.121,0.85373,0.99247,0.86742,0.97486,0.89364,0.26996,0.27683,0.67677,8.26832e-05,8.26832e-05,8.26832e-05
