epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64022,1.00266,2.02872,1.56571,0.23771,0.7037,0.37883,0.27407,0.81449,2.60735,1.29368,0.000547729,0.000547729,0.000547729
2,11.2122,0.74297,1.28107,1.33713,0.73957,0.71833,0.77591,0.49742,1.05104,2.38627,1.66273,0.00108155,0.00108155,0.00108155
3,16.6804,0.75466,1.2265,1.34438,0.48698,0.63037,0.58339,0.46161,0.88233,1.99786,1.27976,0.00159336,0.00159336,0.00159336
4,22.2413,0.71196,1.06297,1.3002,0.53538,0.64295,0.61097,0.39275,1.16746,2.09188,1.58566,0.00156798,0.00156798,0.00156798
5,27.6944,0.6873,1.00641,1.26497,0.60507,0.75452,0.68654,0.51114,1.04631,1.76829,1.5416,0.00153497,0.00153497,0.00153497
6,33.1664,0.61369,0.87444,1.21824,0.62631,0.62444,0.49359,0.41251,0.82709,2.37466,1.19843,0.00150197,0.00150197,0.00150197
7,38.7757,0.65278,0.88088,1.25402,0.94336,0.74756,0.85011,0.68242,0.88909,1.26431,1.22371,0.00146896,0.00146896,0.00146896
8,44.3246,0.58658,0.82438,1.20027,0.84625,0.84844,0.88175,0.68989,0.7497,0.97345,1.16642,0.00143595,0.00143595,0.00143595
9,49.7911,0.55923,0.77599,1.17392,0.9256,0.73333,0.88288,0.62879,0.83618,1.41072,1.12699,0.00140295,0.00140295,0.00140295
10,55.2962,0.56507,0.78252,1.1864,0.88668,0.82078,0.91784,0.753,0.77453,0.79073,1.15718,0.00136994,0.00136994,0.00136994
11,60.738,0.57286,0.7694,1.18053,0.98162,0.71866,0.88375,0.68633,0.89174,1.0619,1.30799,0.00133693,0.00133693,0.00133693
12,66.2536,0.52645,0.75178,1.16382,0.99282,0.82593,0.94756,0.7991,0.60356,0.66765,0.96702,0.00130393,0.00130393,0.00130393
13,71.7585,0.51576,0.68235,1.14758,0.8561,0.86617,0.90837,0.79536,0.58905,0.72223,0.96408,0.00127092,0.00127092,0.00127092
14,77.3263,0.53168,0.69513,1.15415,0.91101,0.88066,0.94675,0.8203,0.55633,0.56138,0.94033,0.00123791,0.00123791,0.00123791
15,82.8276,0.49486,0.6567,1.12553,0.93543,0.77037,0.88774,0.78258,0.53018,1.11073,0.92597,0.00120491,0.00120491,0.00120491
16,88.3639,0.4837,0.65051,1.12322,0.97375,0.76687,0.85049,0.77187,0.54639,0.94001,0.89367,0.0011719,0.0011719,0.0011719
17,93.9569,0.49464,0.67519,1.13134,0.93774,0.792,0.89922,0.75834,0.59282,0.86282,0.97322,0.00113889,0.00113889,0.00113889
18,99.7034,0.47647,0.62103,1.11615,0.9527,0.82593,0.91223,0.80323,0.58021,0.80068,0.90483,0.00110589,0.00110589,0.00110589
19,105.213,0.44744,0.59021,1.0949,0.8968,0.84148,0.93129,0.83238,0.51309,0.61463,0.86749,0.00107288,0.00107288,0.00107288
20,110.862,0.47906,0.62268,1.11186,0.93551,0.87488,0.92657,0.82052,0.49235,0.5367,0.86261,0.00103987,0.00103987,0.00103987
21,116.516,0.44122,0.57086,1.07882,0.8736,0.93528,0.96068,0.87797,0.46639,0.42447,0.78421,0.00100687,0.00100687,0.00100687
22,122.196,0.44347,0.5627,1.08349,0.91279,0.98591,0.9873,0.8854,0.47347,0.41985,0.81732,0.000973861,0.000973861,0.000973861
23,127.796,0.43103,0.58691,1.07815,0.87649,0.90593,0.94531,0.86145,0.42628,0.5563,0.78746,0.000940855,0.000940855,0.000940855
24,133.55,0.43067,0.5628,1.08551,0.94405,0.86296,0.94239,0.87604,0.43842,0.4627,0.80724,0.000907848,0.000907848,0.000907848
