epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.105,0.63337,1.50607,1.20188,0.00617,0.15556,0.00199,0.00057,4.14733,110.746,12.8436,0.00164286,0.00164286,0.0687857
2,22.024,0.52911,0.98381,1.10837,0.09189,0.14815,0.03411,0.01552,3.43253,64.8487,3.60248,0.003244,0.003244,0.0370535
3,31.4277,0.50435,0.90624,1.09233,0.34229,0.26222,0.2906,0.18091,1.81697,5.08001,2.55183,0.00477913,0.00477913,0.00525532
4,40.5104,0.46627,0.83509,1.07422,0.78889,0.42861,0.56006,0.46583,0.83789,2.42469,1.38538,0.004703,0.004703,0.004703
5,49.9614,0.45001,0.79591,1.06231,0.40863,0.47407,0.40448,0.34412,0.84747,2.93855,1.46516,0.004604,0.004604,0.004604
6,58.7578,0.39208,0.75187,1.01762,0.76138,0.47267,0.60613,0.51952,0.59903,2.44086,1.07267,0.004505,0.004505,0.004505
7,67.7856,0.41372,0.71164,1.10187,0.6145,0.75828,0.76164,0.63482,0.64183,1.8846,1.06164,0.004406,0.004406,0.004406
8,76.814,0.37828,0.7224,1.02376,0.86288,0.68018,0.79174,0.68088,0.69004,0.94662,1.04873,0.004307,0.004307,0.004307
9,85.8989,0.37831,0.70616,1.00047,0.83215,0.49893,0.67531,0.51635,0.96222,1.44976,1.57449,0.004208,0.004208,0.004208
10,94.8457,0.29944,0.59673,0.96305,0.72234,0.74743,0.77027,0.68222,0.44615,1.38828,0.85294,0.004109,0.004109,0.004109
11,103.914,0.32297,0.62657,0.97259,0.92993,0.78701,0.88697,0.79794,0.41674,0.67764,0.81877,0.00401,0.00401,0.00401
12,112.882,0.30222,0.57471,0.95613,0.87302,0.6963,0.84648,0.77712,0.33661,0.68331,0.74049,0.003911,0.003911,0.003911
13,121.869,0.31859,0.55225,0.9668,0.98339,0.7677,0.84339,0.76657,0.53509,0.9386,0.92449,0.003812,0.003812,0.003812
